folder,num_geo_files,num_pdf_files,num_excel_files,list_geo_files,all_excel_files,all_pdf_files
MPN 3119,1,1,2,attachment c - geocode (pacific claims management mpn).xls,attachment b - providers + zip codes (pacific claims management mpn)(with 20220915 replacement).xls;attachment c - geocode (pacific claims management mpn).xls,pacific claims management mpn reapproval - plan & attachments (with 20220915 replacement).pdf
MPN 3126,0,1,3,,sompo_mpn_dwc_access.xlsx;sompo_mpn_dwc_ancillary with 20230424 replacement.xlsx;sompo_mpn_dwc_provider with 20230424 replacement.xlsx,sompo international custom mpn reapproval application 3126.pdf
MPN 3127,0,1,3,,sompo_mpn_dwc_access.xlsx;sompo_mpn_dwc_ancillary with 20230424 replacement.xlsx;sompo_mpn_dwc_provider with 20230424 replacement.xlsx,sompo international custom mpn reapproval application.pdf
MPN 3128,1,1,2,attachment c - geocode (broadspire boutique mpn).xlsx,attachment b - providers + zip codes (broadspire boutique mpn).xlsx;attachment c - geocode (broadspire boutique mpn).xlsx,broadspire boutique mpn - plan and attachments resubmission 1.31.2023(with 20230420 replacement).pdf
MPN 3130,0,1,0,,,state corvel healtcare mpn application_20230.pdf
MPN 3131,0,1,0,,,medex _mpn reapproval plan for medex advantage plus - tristar risk management mpn_(id# 3131)_20230614.pdf
MPN 3132,1,1,2,attachment c - geocode (cpc logistics mpn).xlsx,attachment b - providers + zip codes (cpc logistics mpn).xlsx;attachment c - geocode (cpc logistics mpn).xlsx,logistics mpn - plan and attachments (revisions).pdf
MPN 3134,0,1,0,,,medex_mpn reapproval plan for medex advantage - watts industries mpn id# 3134 received 7-14-23.pdf
MPN 3135,0,1,0,,,medex_mpn reapproval plan for medex advantage - amigos pros mpn id# 3135.pdf
MPN 3136 Confidential,1,1,2,attachment c_geocode_state fund_20230906(with 20230908 replacement).xlsx,attachment b_providers+zip codes_state fund_20230906(with 20230908 replacement).xlsx;attachment c_geocode_state fund_20230906(with 20230908 replacement).xlsx,state fund_dwc_mpn plan application_20230906(with 20230908 replacement).pdf
MPN 3138,2,31,0,d.geographical service areas.pdf; h.geocoding.pdf,,"a..eligibility.pdf;a.applied underwriters, inc. certificate of status secretary of state.pdf;a.aucra certificate of authority.pdf;a.cic certificate of authority.pdf;a.cont certificate of authority.pdf;a.iic certificate of authority.pdf;a.pic certificate of authority.pdf;b.projected provider usage.pdf;c.physician service networks.pdf;d.geographical service areas.pdf;e.medical access assistant.pdf;f.mpn website.pdf;g.physician acknowledgements.pdf;h.geocoding.pdf;i.ancillary services..pdf;j.second and third opinion.pdf;k.access standards.pdf;l.employee notification (with 20231017 replacement).pdf;l.mpn employeenotification - english.pdf;l.mpn employeenotification - spanish (with 20231017 replacement).pdf;m.continuity of care policy - english.pdf;m.continuity of care policy - spanish.pdf;m.continuity of care.pdf;n.transfer of care policy - english.pdf;n.transfer of care policy - spanish.pdf;n.transfer of care.pdf;o.economic profiling policy.pdf;p.physician compensation.pdf;q.utilization review.pdf;r.continuous quality monitoring.pdf;s.network disclosure.pdf"
